FileName,FilePath,AbsolutePath,Folder,SVGType,SVGContent,SVGSource,LineContext,FileExtension
AdminLayout.jsx,src/components/Admin/AdminLayout.jsx,D:\git clones\emurpg-frontend\src\components\Admin\AdminLayout.jsx,src/components/Admin,Inline SVG,"viewBox: 0 0 1200 200, size: 1xN/A",On Code,Context not found,.jsx
AdminLogin.jsx,src/components/Admin/AdminLogin.jsx,D:\git clones\emurpg-frontend\src\components\Admin\AdminLogin.jsx,src/components/Admin,Inline SVG,"viewBox: 0 0 1200 200, size: N/AxN/A",On Code,Context not found,.jsx
AnalyticsPanel.jsx,src/components/Admin/AnalyticsPanel.jsx,D:\git clones\emurpg-frontend\src\components\Admin\AnalyticsPanel.jsx,src/components/Admin,Inline SVG,"viewBox: 0 0 24 24, size: N/AxN/A",On Code,Context not found,.jsx
AnnouncementCard.jsx,src/components/Admin/AnnouncementCard.jsx,D:\git clones\emurpg-frontend\src\components\Admin\AnnouncementCard.jsx,src/components/Admin,Inline SVG,"viewBox: 0 0 1080 720, size: 0.5xN/A",On Code,Context not found,.jsx
AnnouncementCard.jsx,src/components/Admin/AnnouncementCard.jsx,D:\git clones\emurpg-frontend\src\components\Admin\AnnouncementCard.jsx,src/components/Admin,Inline SVG,"viewBox: 0 0 1080 1400, size: N/AxN/A",On Code,Context not found,.jsx
AnnouncementCard.jsx,src/components/Admin/AnnouncementCard.jsx,D:\git clones\emurpg-frontend\src\components\Admin\AnnouncementCard.jsx,src/components/Admin,Inline SVG,"viewBox: 0 0 1080 360, size: 1.8xN/A",On Code,Context not found,.jsx
TeamMembersPanel.jsx,src/components/Admin/TeamMembersPanel.jsx,D:\git clones\emurpg-frontend\src\components\Admin\TeamMembersPanel.jsx,src/components/Admin,Inline SVG,"viewBox: 0 0 24 24, size: N/AxN/A",On Code,Context not found,.jsx
AdminButton.jsx,src/components/Admin/shared/AdminButton.jsx,D:\git clones\emurpg-frontend\src\components\Admin\shared\AdminButton.jsx,src/components/Admin/shared,Inline SVG,"viewBox: 0 0 24 24, size: 4xN/A",On Code,Context not found,.jsx
LoadingSpinner.jsx,src/components/Admin/shared/LoadingSpinner.jsx,D:\git clones\emurpg-frontend\src\components\Admin\shared\LoadingSpinner.jsx,src/components/Admin/shared,Inline SVG,"viewBox: 0 0 20 20, size: N/AxN/A",On Code,Context not found,.jsx
CharacterCard.jsx,src/components/Charroller/CharacterCard.jsx,D:\git clones\emurpg-frontend\src\components\Charroller\CharacterCard.jsx,src/components/Charroller,React SVG Component,SystemIcon,External Library (wrapper - lucide-react),"Line 109: <SystemIcon className=""w-6 h-6"" style={{ color: systemColor }} />",.jsx
CharacterCard.jsx,src/components/Charroller/CharacterCard.jsx,D:\git clones\emurpg-frontend\src\components\Charroller\CharacterCard.jsx,src/components/Charroller,React SVG Component,SystemIcon,External Library (wrapper - lucide-react),"Line 109: <SystemIcon className=""w-6 h-6"" style={{ color: systemColor }} />",.jsx
CharacterCard.jsx,src/components/Charroller/CharacterCard.jsx,D:\git clones\emurpg-frontend\src\components\Charroller\CharacterCard.jsx,src/components/Charroller,React SVG Component,SystemIcon,External Library (wrapper - lucide-react),"Line 109: <SystemIcon className=""w-6 h-6"" style={{ color: systemColor }} />",.jsx
CharrollerBackground.jsx,src/components/Charroller/CharrollerBackground.jsx,D:\git clones\emurpg-frontend\src\components\Charroller\CharrollerBackground.jsx,src/components/Charroller,Inline SVG,"viewBox: 0 0 120 160, size: 80x100",On Code,Context not found,.jsx
CharrollerBackground.jsx,src/components/Charroller/CharrollerBackground.jsx,D:\git clones\emurpg-frontend\src\components\Charroller\CharrollerBackground.jsx,src/components/Charroller,Inline SVG,"viewBox: 0 0 100 100, size: 70x70",On Code,Context not found,.jsx
